#"INDEX","LOCATION","STATE","SEVERITY","NAME","DATE/TIME","USER","NOTES"
"1","NCC","None","Informational","Configuration changed","Thu 29-May-2014  15:32:26.3 (GMT-06:00)","Portal User","engPortalGenericKeyValue [1] set to: 
07de 051d 0f20 0100 2d06 00 "
"2","NCC","None","Informational","Configuration changed","Thu 29-May-2014  15:32:31.3 (GMT-06:00)","Portal User","Inactive switch"
"3","Slot 1","Raising","Major","Demodulator not locked","Sun 01-Jun-2014  14:05:15.4 (GMT-06:00)","SYS",""
"4","Slot 1","Clearing","Cleared","Demodulator not locked","Sun 01-Jun-2014  14:05:15.6 (GMT-06:00)","SYS",""
"5","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Sun 01-Jun-2014  14:05:16.7 (GMT-06:00)","SYS",""
"6","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Sun 01-Jun-2014  14:05:25.7 (GMT-06:00)","SYS",""
"7","Slot 1","Raising","Major","Demodulator not locked","Fri 06-Jun-2014  06:42:22.4 (GMT-06:00)","SYS",""
"8","Slot 1","Clearing","Cleared","Demodulator not locked","Fri 06-Jun-2014  06:42:22.6 (GMT-06:00)","SYS",""
"9","Slot 1","Raising","Critical","Traffic path down","Fri 06-Jun-2014  06:42:23.3 (GMT-06:00)","SYS",""
"10","NCC","None","Informational","Event Action created","Fri 06-Jun-2014  06:42:23.4 (GMT-06:00)","SYS","Relay Output 1 Action request sent to 127.0.0.1, Slot1"
"11","NCC","None","Informational","Event Action accepted","Fri 06-Jun-2014  06:42:23.5 (GMT-06:00)","SYS","Relay Output 1 Action request received from 127.0.0.1."
"12","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Fri 06-Jun-2014  06:42:23.7 (GMT-06:00)","SYS",""
"13","Slot 1","Clearing","Cleared","Traffic path down","Fri 06-Jun-2014  06:42:24.3 (GMT-06:00)","SYS",""
"14","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Fri 06-Jun-2014  06:42:32.7 (GMT-06:00)","SYS",""
"15","Slot 1","Raising","Major","Demodulator not locked","Sat 07-Jun-2014  10:10:22.7 (GMT-06:00)","SYS",""
"16","Slot 1","Raising","Critical","Traffic path down","Sat 07-Jun-2014  10:10:22.8 (GMT-06:00)","SYS",""
"17","Slot 1","Raising","Warning","10-3 BER threshold exceeded","Sat 07-Jun-2014  10:10:22.8 (GMT-06:00)","SYS",""
"18","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Sat 07-Jun-2014  10:10:22.8 (GMT-06:00)","SYS",""
"19","NCC","None","Informational","Event Action created","Sat 07-Jun-2014  10:10:22.9 (GMT-06:00)","SYS","Relay Output 1 Action request sent to 127.0.0.1, Slot1"
"20","NCC","None","Informational","Event Action accepted","Sat 07-Jun-2014  10:10:22.9 (GMT-06:00)","SYS","Relay Output 1 Action request received from 127.0.0.1."
"21","Slot 1","Clearing","Cleared","Demodulator not locked","Sat 07-Jun-2014  10:10:23.1 (GMT-06:00)","SYS",""
"22","Slot 1","Clearing","Cleared","10-3 BER threshold exceeded","Sat 07-Jun-2014  10:10:24.7 (GMT-06:00)","SYS",""
"23","Slot 1","Clearing","Cleared","Traffic path down","Sat 07-Jun-2014  10:10:24.9 (GMT-06:00)","SYS",""
"24","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Sat 07-Jun-2014  10:10:33.7 (GMT-06:00)","SYS",""
"25","Slot 1","Raising","Major","Demodulator not locked","Sun 08-Jun-2014  15:40:44.9 (GMT-06:00)","SYS",""
"26","Slot 1","Clearing","Cleared","Demodulator not locked","Sun 08-Jun-2014  15:40:45.4 (GMT-06:00)","SYS",""
"27","Slot 1","Raising","Critical","Traffic path down","Sun 08-Jun-2014  15:40:45.6 (GMT-06:00)","SYS",""
"28","NCC","None","Informational","Event Action created","Sun 08-Jun-2014  15:40:45.6 (GMT-06:00)","SYS","Relay Output 1 Action request sent to 127.0.0.1, Slot1"
"29","NCC","None","Informational","Event Action accepted","Sun 08-Jun-2014  15:40:45.7 (GMT-06:00)","SYS","Relay Output 1 Action request received from 127.0.0.1."
"30","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Sun 08-Jun-2014  15:40:45.8 (GMT-06:00)","SYS",""
