#"INDEX","LOCATION","STATE","SEVERITY","NAME","DATE/TIME","USER","NOTES"
"1","Slot 1","Clearing","Cleared","Demodulator not locked","Mon 06-Jul-2015  21:20:06.1 (GMT-06:00)","SYS",""
"2","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Mon 06-Jul-2015  21:20:06.2 (GMT-06:00)","SYS",""
"3","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Mon 06-Jul-2015  21:20:16.2 (GMT-06:00)","SYS",""
"4","Slot 1","Raising","Major","Demodulator not locked","Tue 07-Jul-2015  02:22:51.5 (GMT-06:00)","SYS",""
"5","Slot 1","Clearing","Cleared","Demodulator not locked","Tue 07-Jul-2015  02:22:51.9 (GMT-06:00)","SYS",""
"6","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Tue 07-Jul-2015  02:22:52.3 (GMT-06:00)","SYS",""
"7","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Tue 07-Jul-2015  02:23:01.2 (GMT-06:00)","SYS",""
"8","Slot 1","Raising","Major","Demodulator not locked","Tue 07-Jul-2015  22:31:42.6 (GMT-06:00)","SYS",""
"9","Slot 1","Clearing","Cleared","Demodulator not locked","Tue 07-Jul-2015  22:31:43.2 (GMT-06:00)","SYS",""
"10","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Tue 07-Jul-2015  22:31:44.3 (GMT-06:00)","SYS",""
"11","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Tue 07-Jul-2015  22:31:53.3 (GMT-06:00)","SYS",""
"12","Slot 1","Raising","Major","Demodulator not locked","Wed 08-Jul-2015  02:06:18.6 (GMT-06:00)","SYS",""
"13","Slot 1","Clearing","Cleared","Demodulator not locked","Wed 08-Jul-2015  02:06:19.0 (GMT-06:00)","SYS",""
"14","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Wed 08-Jul-2015  02:06:19.2 (GMT-06:00)","SYS",""
"15","Slot 1","Raising","Critical","Traffic path down","Wed 08-Jul-2015  02:06:19.3 (GMT-06:00)","SYS",""
"16","Slot 1","Clearing","Cleared","Traffic path down","Wed 08-Jul-2015  02:06:20.3 (GMT-06:00)","SYS",""
"17","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Wed 08-Jul-2015  02:06:29.2 (GMT-06:00)","SYS",""
"18","Slot 1","Raising","Major","Demodulator not locked","Wed 08-Jul-2015  22:38:43.4 (GMT-06:00)","SYS",""
"19","Slot 1","Clearing","Cleared","Demodulator not locked","Wed 08-Jul-2015  22:38:44.1 (GMT-06:00)","SYS",""
"20","Slot 1","Raising","Critical","Traffic path down","Wed 08-Jul-2015  22:38:44.1 (GMT-06:00)","SYS",""
"21","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Wed 08-Jul-2015  22:38:44.2 (GMT-06:00)","SYS",""
"22","Slot 1","Clearing","Cleared","Traffic path down","Wed 08-Jul-2015  22:38:45.1 (GMT-06:00)","SYS",""
"23","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Wed 08-Jul-2015  22:38:54.2 (GMT-06:00)","SYS",""
"24","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Wed 08-Jul-2015  22:55:51.2 (GMT-06:00)","SYS",""
"25","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Wed 08-Jul-2015  22:56:00.3 (GMT-06:00)","SYS",""
"26","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Thu 09-Jul-2015  00:10:56.3 (GMT-06:00)","SYS",""
"27","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Thu 09-Jul-2015  00:11:05.2 (GMT-06:00)","SYS",""
"28","Slot 1","Raising","Major","Demodulator not locked","Thu 09-Jul-2015  00:14:58.5 (GMT-06:00)","SYS",""
"29","Slot 1","Clearing","Cleared","Demodulator not locked","Thu 09-Jul-2015  00:14:58.7 (GMT-06:00)","SYS",""
"30","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Thu 09-Jul-2015  00:14:59.3 (GMT-06:00)","SYS",""
"31","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Thu 09-Jul-2015  00:15:08.2 (GMT-06:00)","SYS",""
"32","Slot 1","Raising","Major","Demodulator not locked","Thu 09-Jul-2015  00:16:31.8 (GMT-06:00)","SYS",""
